patient_segment,payer,service_line,claims,denials,avg_documentation_score,avg_expected_reimbursement,denial_rate,parity_gap,excess_denials_vs_average,estimated_excess_value
Uninsured,CivicCare,Orthopedics,13,2,73.70769230769231,2235.6023076923075,0.15384615384615385,-0.03455384615384616,0.0,0.0
Uninsured,Aster Health,Behavioral Health,20,3,72.245,325.9265,0.15,-0.03840000000000002,0.0,0.0
Commercial,Blue Harbor,Primary Care,135,20,77.43407407407408,182.24,0.14814814814814814,-0.04025185185185187,0.0,0.0
Medicare,Aster Health,Imaging,95,14,79.83473684210527,649.0292631578948,0.14736842105263157,-0.04103157894736845,0.0,0.0
Commercial,Meridian Choice,Cardiology,55,8,79.03818181818183,1562.9243636363635,0.14545454545454545,-0.042945454545454564,0.0,0.0
Commercial,Meridian Choice,Imaging,90,13,78.79888888888888,617.7555555555556,0.14444444444444443,-0.04395555555555558,0.0,0.0
Commercial,Aster Health,Primary Care,154,22,77.92207792207792,181.8483116883117,0.14285714285714285,-0.04554285714285716,0.0,0.0
Commercial,CivicCare,Primary Care,113,16,78.47345132743362,186.63238938053095,0.1415929203539823,-0.04680707964601771,0.0,0.0
Medicare,Blue Harbor,Primary Care,58,8,77.08275862068966,183.28741379310344,0.13793103448275862,-0.05046896551724139,0.0,0.0
Commercial,CivicCare,Cardiology,80,11,78.09,1462.136625,0.1375,-0.0509,0.0,0.0
Medicare,Blue Harbor,Orthopedics,51,7,77.6,2170.274509803922,0.13725490196078433,-0.051145098039215686,0.0,0.0
Medicare,CivicCare,Orthopedics,52,7,78.46153846153847,2136.6525,0.1346153846153846,-0.0537846153846154,0.0,0.0
Commercial,CivicCare,Oncology,67,9,78.44626865671641,4050.1371641791047,0.13432835820895522,-0.05407164179104479,0.0,0.0
Commercial,Aster Health,Orthopedics,128,17,78.37265625,2278.48265625,0.1328125,-0.05558750000000001,0.0,0.0
Commercial,Aster Health,Cardiology,106,14,77.5490566037736,1538.2363207547169,0.1320754716981132,-0.056324528301886806,0.0,0.0
Commercial,Meridian Choice,Primary Care,94,12,78.9,184.57202127659576,0.1276595744680851,-0.060740425531914916,0.0,0.0
Uninsured,Aster Health,Oncology,8,1,74.8625,3834.4375,0.125,-0.06340000000000001,0.0,0.0
Uninsured,Aster Health,Primary Care,16,2,75.69375,187.11875,0.125,-0.06340000000000001,0.0,0.0
Uninsured,CivicCare,Oncology,8,1,78.9,4610.775000000001,0.125,-0.06340000000000001,0.0,0.0
Commercial,Aster Health,Oncology,57,7,79.74912280701754,3920.7080701754385,0.12280701754385964,-0.06559298245614037,0.0,0.0
Uninsured,Blue Harbor,Imaging,17,2,76.38823529411764,671.4629411764705,0.11764705882352941,-0.0707529411764706,0.0,0.0
Medicare,Aster Health,Primary Care,83,9,77.18915662650602,186.49240963855422,0.10843373493975904,-0.07996626506024097,0.0,0.0
Medicare,CivicCare,Primary Care,65,7,78.65538461538462,194.07015384615383,0.1076923076923077,-0.08070769230769231,0.0,0.0
Uninsured,Blue Harbor,Primary Care,19,2,76.53157894736842,196.3778947368421,0.10526315789473684,-0.08313684210526318,0.0,0.0
Uninsured,CivicCare,Behavioral Health,10,1,72.61,325.18,0.1,-0.0884,0.0,0.0
Uninsured,Meridian Choice,Cardiology,10,1,82.02000000000001,1668.9650000000001,0.1,-0.0884,0.0,0.0
Commercial,Blue Harbor,Imaging,126,12,77.38253968253969,648.126746031746,0.09523809523809523,-0.09316190476190478,0.0,0.0
Uninsured,Blue Harbor,Orthopedics,21,2,78.38095238095238,2096.244761904762,0.09523809523809523,-0.09316190476190478,0.0,0.0
Medicare,Blue Harbor,Cardiology,61,5,77.95573770491804,1651.6403278688524,0.08196721311475409,-0.10643278688524592,0.0,0.0
Medicare,CivicCare,Imaging,52,3,79.62692307692308,615.8488461538461,0.057692307692307696,-0.1307076923076923,0.0,0.0
Uninsured,Blue Harbor,Cardiology,19,1,75.63684210526316,1470.8921052631579,0.05263157894736842,-0.1357684210526316,0.0,0.0
Uninsured,CivicCare,Primary Care,22,1,79.29545454545455,186.2840909090909,0.045454545454545456,-0.14294545454545454,0.0,0.0
Uninsured,Aster Health,Imaging,25,1,75.008,655.4896000000001,0.04,-0.1484,0.0,0.0
Uninsured,Aster Health,Cardiology,13,0,79.6,1580.9584615384615,0.0,-0.1884,0.0,0.0
Uninsured,Blue Harbor,Oncology,6,0,77.08333333333333,4132.5199999999995,0.0,-0.1884,0.0,0.0
Uninsured,Meridian Choice,Oncology,6,0,77.23333333333333,4231.055,0.0,-0.1884,0.0,0.0
