patient_segment,payer,specialty,referrals,leakage_rate,completion_rate,median_wait_days,avg_need_index,avg_capacity_score,avg_expected_visit_value,leakage_gap,wait_gap_days,excess_leaked_referrals,estimated_excess_value
Uninsured,CivicCare,Behavioral Health,20,0.2,0.8,47.0,73.53999999999999,52.86,218.35700000000003,0.012833333333333335,11.0,0.3,65.51
Uninsured,CivicCare,Dermatology,8,0.125,0.75,50.0,76.8125,68.025,307.545,-0.062166666666666676,14.0,0.0,0.0
Commercial,CivicCare,Dermatology,79,0.1518987341772152,0.7215189873417721,44.0,48.41898734177215,68.62911392405063,272.3864556962025,-0.03526793248945148,8.0,0.0,0.0
Uninsured,Blue Harbor,Dermatology,6,0.16666666666666666,0.6666666666666666,43.5,71.75,63.400000000000006,279.5833333333333,-0.020500000000000018,7.5,0.0,0.0
Medicaid,Meridian Choice,Endocrinology,27,0.14814814814814814,0.6296296296296297,43.0,63.55555555555556,74.58518518518518,400.4559259259259,-0.039018518518518536,7.0,0.0,0.0
Uninsured,Meridian Choice,Endocrinology,7,0.14285714285714285,0.42857142857142855,43.0,67.94285714285715,69.57142857142857,351.4771428571429,-0.044309523809523826,7.0,0.0,0.0
Medicaid,Blue Harbor,Dermatology,40,0.175,0.75,41.0,65.5875,65.7625,270.164,-0.012166666666666687,5.0,0.0,0.0
Medicare,Blue Harbor,Behavioral Health,59,0.11864406779661017,0.7966101694915254,41.0,54.33728813559322,56.396610169491524,229.86254237288134,-0.0685225988700565,5.0,0.0,0.0
Medicare,Blue Harbor,Dermatology,27,0.1111111111111111,0.7407407407407407,41.0,52.46666666666667,68.02962962962962,267.83444444444444,-0.07605555555555557,5.0,0.0,0.0
Uninsured,Blue Harbor,Orthopedics,21,0.09523809523809523,0.8095238095238095,41.0,74.50952380952381,70.29047619047618,631.3552380952381,-0.09192857142857144,5.0,0.0,0.0
Commercial,Aster Health,Dermatology,95,0.15789473684210525,0.6736842105263158,40.0,50.19263157894737,68.93052631578946,268.0521052631579,-0.02927192982456142,4.0,0.0,0.0
Medicare,Aster Health,Behavioral Health,67,0.13432835820895522,0.8208955223880597,40.0,53.87014925373135,56.232835820895524,233.12671641791044,-0.05283830845771145,4.0,0.0,0.0
Medicare,CivicCare,Orthopedics,46,0.13043478260869565,0.6739130434782609,40.0,50.334782608695654,67.71304347826086,604.9554347826087,-0.05673188405797103,4.0,0.0,0.0
Medicare,Meridian Choice,Orthopedics,31,0.12903225806451613,0.8387096774193549,40.0,51.829032258064515,66.55483870967741,622.9519354838709,-0.05813440860215055,4.0,0.0,0.0
Commercial,Aster Health,Behavioral Health,126,0.1349206349206349,0.7619047619047619,38.5,53.33888888888889,56.14920634920635,222.96777777777777,-0.05224603174603176,2.5,0.0,0.0
Uninsured,Aster Health,Behavioral Health,23,0.17391304347826086,0.782608695652174,38.0,67.90434782608695,52.77826086956522,231.00304347826085,-0.013253623188405811,2.0,0.0,0.0
Commercial,Blue Harbor,Endocrinology,69,0.17391304347826086,0.7391304347826086,36.0,50.166666666666664,69.88840579710146,358.80347826086955,-0.013253623188405811,0.0,0.0,0.0
Medicare,Blue Harbor,Endocrinology,47,0.1276595744680851,0.7446808510638298,36.0,46.46595744680851,68.72765957446808,380.4865957446808,-0.05950709219858158,0.0,0.0,0.0
Commercial,Meridian Choice,Orthopedics,50,0.16,0.7,35.5,51.232,69.59,621.445,-0.027166666666666672,-0.5,0.0,0.0
Medicare,Aster Health,Orthopedics,78,0.15384615384615385,0.7435897435897436,35.0,51.46025641025641,69.66538461538461,625.7660256410256,-0.03332051282051282,-1.0,0.0,0.0
Uninsured,CivicCare,Cardiology,16,0.1875,0.5625,34.5,66.53125,61.4875,536.208125,0.0003333333333333244,-1.5,0.0,0.0
Commercial,CivicCare,Orthopedics,87,0.1724137931034483,0.632183908045977,34.0,52.52873563218391,70.0632183908046,621.611724137931,-0.014752873563218388,-2.0,0.0,0.0
Medicaid,Meridian Choice,Cardiology,33,0.12121212121212122,0.7575757575757576,34.0,71.01515151515152,71.28484848484848,550.6969696969697,-0.06595454545454546,-2.0,0.0,0.0
Medicare,Blue Harbor,Orthopedics,43,0.11627906976744186,0.7441860465116279,34.0,51.14651162790698,70.90232558139536,577.9695348837209,-0.07088759689922482,-2.0,0.0,0.0
Uninsured,Meridian Choice,Cardiology,15,0.13333333333333333,0.6,34.0,66.38666666666667,75.23333333333333,516.5353333333334,-0.053833333333333344,-2.0,0.0,0.0
Medicare,CivicCare,Cardiology,46,0.15217391304347827,0.7608695652173914,32.0,51.589130434782604,69.96304347826087,545.640652173913,-0.034992753623188405,-4.0,0.0,0.0
Commercial,CivicCare,Cardiology,92,0.15217391304347827,0.7391304347826086,31.0,53.04347826086956,68.77826086956522,529.1304347826087,-0.034992753623188405,-5.0,0.0,0.0
Uninsured,Blue Harbor,Oncology,10,0.0,0.9,30.5,67.96000000000001,46.3,1341.609,-0.18716666666666668,-5.5,0.0,0.0
Medicare,CivicCare,Oncology,35,0.17142857142857143,0.7428571428571429,29.0,54.75714285714286,56.308571428571426,1282.9740000000002,-0.015738095238095245,-7.0,0.0,0.0
Commercial,CivicCare,Oncology,57,0.10526315789473684,0.7543859649122807,27.0,53.96491228070175,54.52105263157895,1482.4915789473685,-0.08190350877192984,-9.0,0.0,0.0
Medicare,Blue Harbor,Cardiology,64,0.125,0.75,27.0,49.7640625,69.3578125,519.62203125,-0.062166666666666676,-9.0,0.0,0.0
Medicare,Blue Harbor,Oncology,31,0.0967741935483871,0.7419354838709677,27.0,45.07096774193548,54.693548387096776,1357.6935483870968,-0.09039247311827958,-9.0,0.0,0.0
Uninsured,Meridian Choice,Oncology,5,0.0,0.8,27.0,70.82000000000001,58.56,1394.898,-0.18716666666666668,-9.0,0.0,0.0
Uninsured,CivicCare,Oncology,12,0.16666666666666666,0.8333333333333334,26.5,72.99166666666666,57.65833333333333,1284.1991666666665,-0.020500000000000018,-9.5,0.0,0.0
Commercial,Blue Harbor,Cardiology,89,0.1348314606741573,0.7303370786516854,26.0,50.599999999999994,67.59662921348315,525.812808988764,-0.052335205992509376,-10.0,0.0,0.0
Commercial,Blue Harbor,Oncology,60,0.15,0.75,26.0,48.08833333333334,55.95166666666667,1408.1701666666668,-0.03716666666666668,-10.0,0.0,0.0
Commercial,Meridian Choice,Oncology,42,0.11904761904761904,0.7857142857142857,26.0,54.733333333333334,55.87857142857143,1379.2623809523811,-0.06811904761904763,-10.0,0.0,0.0
Medicaid,Aster Health,Cardiology,79,0.12658227848101267,0.759493670886076,26.0,64.48987341772151,67.98987341772151,569.1179746835443,-0.06058438818565401,-10.0,0.0,0.0
Medicaid,Blue Harbor,Cardiology,39,0.10256410256410256,0.7692307692307693,26.0,62.8948717948718,71.65128205128205,520.9782051282052,-0.08460256410256412,-10.0,0.0,0.0
Medicaid,CivicCare,Oncology,43,0.13953488372093023,0.7441860465116279,26.0,66.0860465116279,56.616279069767444,1373.3767441860464,-0.047631782945736445,-10.0,0.0,0.0
Uninsured,Aster Health,Cardiology,25,0.12,0.76,26.0,74.944,67.14399999999999,520.0872,-0.06716666666666668,-10.0,0.0,0.0
Commercial,Aster Health,Cardiology,104,0.08653846153846154,0.8365384615384616,25.0,50.08269230769231,68.59038461538461,518.7768269230769,-0.10062820512820514,-11.0,0.0,0.0
Commercial,Aster Health,Oncology,82,0.0975609756097561,0.8536585365853658,25.0,47.854878048780485,58.2890243902439,1360.5086585365855,-0.08960569105691057,-11.0,0.0,0.0
Medicare,Meridian Choice,Oncology,28,0.07142857142857142,0.6428571428571429,25.0,56.353571428571435,55.471428571428575,1375.9789285714285,-0.11573809523809525,-11.0,0.0,0.0
Medicare,Aster Health,Cardiology,60,0.1,0.8166666666666667,24.5,49.44666666666667,69.27333333333333,525.3788333333333,-0.08716666666666667,-11.5,0.0,0.0
Medicaid,Aster Health,Oncology,56,0.03571428571428571,0.8035714285714286,24.0,64.50892857142857,59.42321428571428,1316.0,-0.15145238095238095,-12.0,0.0,0.0
Medicaid,Blue Harbor,Oncology,27,0.07407407407407407,0.7777777777777778,24.0,65.98518518518519,55.1925925925926,1444.4588888888889,-0.1130925925925926,-12.0,0.0,0.0
Medicaid,Meridian Choice,Oncology,25,0.08,0.72,24.0,61.992,62.812,1358.7128,-0.10716666666666667,-12.0,0.0,0.0
Uninsured,CivicCare,Imaging,19,0.10526315789473684,0.7368421052631579,22.0,66.85263157894737,65.0578947368421,452.891052631579,-0.08190350877192984,-14.0,0.0,0.0
Medicaid,CivicCare,Imaging,55,0.12727272727272726,0.7636363636363637,21.0,67.73636363636363,67.61090909090909,473.0529090909091,-0.059893939393939416,-15.0,0.0,0.0
Medicare,Aster Health,Oncology,33,0.06060606060606061,0.6363636363636364,20.0,55.5,61.7939393939394,1388.210303030303,-0.12656060606060607,-16.0,0.0,0.0
Medicare,Meridian Choice,Imaging,31,0.16129032258064516,0.7096774193548387,20.0,49.516129032258064,64.34516129032258,483.9993548387097,-0.02587634408602152,-16.0,0.0,0.0
Commercial,Meridian Choice,Imaging,70,0.05714285714285714,0.7857142857142857,19.0,50.005714285714284,74.01857142857143,490.3905714285714,-0.13002380952380954,-17.0,0.0,0.0
Medicaid,Blue Harbor,Imaging,57,0.17543859649122806,0.7017543859649122,19.0,65.17017543859649,66.45263157894738,481.4871929824561,-0.011728070175438615,-17.0,0.0,0.0
Medicare,Aster Health,Imaging,66,0.13636363636363635,0.7727272727272727,19.0,50.08939393939394,69.53787878787878,466.8187878787879,-0.05080303030303032,-17.0,0.0,0.0
Medicare,CivicCare,Imaging,49,0.12244897959183673,0.7959183673469388,19.0,53.179591836734694,68.37959183673469,478.4934693877551,-0.06471768707482994,-17.0,0.0,0.0
Uninsured,Meridian Choice,Imaging,20,0.15,0.8,19.0,64.635,68.13,482.0865,-0.03716666666666668,-17.0,0.0,0.0
Uninsured,Aster Health,Imaging,16,0.0625,0.9375,18.5,71.91875,72.53125,478.175,-0.12466666666666668,-17.5,0.0,0.0
Commercial,Aster Health,Imaging,136,0.14705882352941177,0.7867647058823529,18.0,48.46911764705882,68.40514705882353,492.0052205882353,-0.040107843137254906,-18.0,0.0,0.0
Commercial,Blue Harbor,Imaging,85,0.058823529411764705,0.8352941176470589,18.0,49.08470588235294,68.81058823529412,484.83282352941177,-0.12834313725490198,-18.0,0.0,0.0
Commercial,CivicCare,Imaging,78,0.0641025641025641,0.782051282051282,18.0,51.08589743589744,68.6974358974359,484.3102564102564,-0.12306410256410258,-18.0,0.0,0.0
Medicaid,Meridian Choice,Imaging,38,0.07894736842105263,0.8421052631578947,18.0,65.63684210526316,69.89999999999999,496.23263157894735,-0.10821929824561405,-18.0,0.0,0.0
Medicare,Blue Harbor,Imaging,45,0.08888888888888889,0.7333333333333333,17.0,49.38444444444445,68.78222222222222,481.5693333333333,-0.09827777777777778,-19.0,0.0,0.0
