record_id,file_name,department,recording_type,duration_sec,sample_rate_hz,channels,created_date,created_by,file_size_mb,storage_tier,storage_cost_usd_month
35,rec_00035.aac,Admissions,Meeting,685,16000,2,2024-10-23,staff,4.688051071849954,Standard,0.00011477169795179823
36,rec_00036.flac,Housing,Interview,7008,44100,1,2024-09-24,staff,158.1974513644896,Standard,0.0033303487403069107
37,rec_00037.flac,Library,Interview,2704,44100,1,2024-09-21,staff,55.77409124177616,Standard,0.0012785804831475268
38,rec_00038.flac,Housing,Meeting,4597,48000,2,2024-09-20,staff,149.00861709453264,Standard,0.0032920578686370062
39,rec_00039.mp3,Housing,Interview,2811,44100,1,2024-09-03,dm,62.35484464397942,Infrequent,0.0008596760215950195
40,rec_00040.aac,IT,Meeting,5223,48000,1,2024-12-07,dm,176.28850833798103,Infrequent,0.0021940845168604613
41,rec_00041.m4a,Library,Interview,5463,16000,2,2024-10-21,staff,48.281722709562196,Standard,0.0011708026930890795
42,rec_00042.mp3,Housing,Interview,1256,16000,1,2024-09-27,staff,10.951631107713501,Infrequent,0.00014150255451348616
43,rec_00043.aac,Library,Incident Report,957,16000,1,2024-12-10,staff,8.013779853845383,Standard,0.00018508761191119756
44,rec_00044.wav,Admissions,Incident Report,2201,44100,1,2024-10-23,dm,55.92656758028132,Standard,0.0011893837058582573
45,rec_00045.aac,Housing,Incident Report,632,22050,2,2024-12-01,staff,6.499818913167252,Standard,0.00013664482142672265
46,rec_00046.flac,ResLife,Meeting,6319,16000,2,2024-12-16,admin,56.36159438229567,Standard,0.001382062207063188
47,rec_00047.wav,ResLife,Front Desk Call,6866,16000,1,2024-10-10,staff,54.866067693199284,Standard,0.0011727250775058235
48,rec_00048.wav,ResLife,Meeting,878,44100,1,2024-09-18,staff,20.84437540656919,Standard,0.000510748893918666
49,rec_00049.m4a,Athletics,Interview,2107,22050,2,2024-09-17,dm,25.980679928269783,Infrequent,0.00037538939184541235
50,rec_00050.wav,Admissions,Meeting,6863,44100,1,2024-11-21,admin,145.76723264581685,Infrequent,0.0019869379438291652
51,rec_00051.wav,Library,Training,4308,44100,1,2024-11-13,dm,100.05909496049755,Infrequent,0.001365153867042098
52,rec_00052.m4a,Housing,Meeting,3085,48000,1,2024-09-30,ga,85.47114985787466,Standard,0.0017394119517136048
53,rec_00053.aac,Athletics,Meeting,1162,44100,2,2024-11-17,staff,30.655619569419166,Infrequent,0.00043547510457163255
54,rec_00054.m4a,ResLife,Incident Report,2816,44100,2,2024-11-15,staff,65.99632245258847,Archive,0.0005377964442984018
55,rec_00055.aac,ATHLETICS,Incident Report,2482,22050,1,2024-12-16,staff,25.87895593984515,Standard,0.0005912574259578898
56,rec_00056.aac,Library,Incident Report,3712,16000,2,2024-12-07,dm,33.087337434735296,Archive,0.0002764179802866716
57,rec_00057.aac,Library,Training,4687,16000,1,2024-10-09,staff,37.504293146214124,Standard,0.0008374481964525845
58,rec_00058.flac,IT,Meeting,3199,22050,1,2024-12-08,dm,40.35813748470866,Standard,0.0008851784647816792
59,rec_00059.m4a,ResLife,Interview,1538,22050,1,2024-11-14,staff,19.662699705503968,Standard,0.00046291225162692936
60,rec_00060.m4a,Library,Meeting,3395,16000,1,2024-12-03,staff,28.08267954858036,Standard,0.0006301098022984947
61,rec_00061.mp3,Library,Interview,4320,44100,1,2024-12-20,staff,99.53822840616813,Standard,0.0022832562437268404
62,rec_00062.m4a,IT,Front Desk Call,3061,16000,1,2024-11-02,staff,22.33870680027975,Standard,0.0004668796688202443
63,rec_00063.mp3,Library,Front Desk Call,6215,48000,1,2024-09-14,staff,168.08893241753321,Archive,0.0012423679756541335
64,rec_00064.mp3,ResLife,Incident Report,5057,44100,2,2024-11-05,staff,122.93117775970464,Standard,0.00258580951508851
65,rec_00065.aac,IT,Incident Report,6449,16000,2,2024-12-16,dm,44.48960071518258,Archive,0.00037092565902401145
66,rec_00066.wav,Athletics,Training,2000,16000,1,2024-09-21,dm,15.012153496261265,Standard,0.00037048209262147586
67,rec_00067.wav,ResLife,Meeting,3444,16000,2,2024-09-30,staff,30.050928564182303,Standard,0.0007389167597476961
68,rec_00068.wav,ResLife,Incident Report,1211,16000,1,2024-09-15,dm,10.607803784250104,Standard,0.0002407496573852555
69,rec_00069.aac,IT,Interview,6722,44100,2,2024-12-08,staff,172.76790893718,Standard,0.004101479240460971
70,rec_00070.flac,ResLife,Meeting,3137,16000,2,2024-11-29,staff,22.252241001176657,Infrequent,0.0002771191842499804
71,rec_00071.aac,Housing,Incident Report,5924,16000,1,2024-10-19,staff,52.41166977267475,Standard,0.001137030819006329
72,rec_00072.mp3,Housing,Front Desk Call,649,44100,1,2024-09-07,dm,13.568478018263693,Standard,0.0003315406374205353
73,rec_00073.flac,Athletics,Meeting,5146,22050,2,2024-12-21,admin,67.87401222693116,Infrequent,0.0008775169177803663
74,rec_00074.mp3,ResLife,Interview,3229,44100,2,2024-12-21,dm,81.32781934654983,Standard,0.0017019263680473425
75,rec_00075.m4a,Admissions,Interview,6397,44100,2,2024-10-06,staff,171.10566043416395,Standard,0.003792356335690009
76,rec_00076.wav,Athletics,Incident Report,3566,44100,1,2024-09-23,dm,95.7181519008076,Infrequent,0.0013591337462455306
77,rec_00077.flac,IT,Incident Report,957,16000,1,2024-12-16,staff,7.53278165937292,Infrequent,0.00011140751606542755
78,rec_00078.aac,IT,Training,5650,22050,1,2024-11-26,admin,62.48017594819956,Standard,0.0012720377656685695
79,rec_00079.flac,IT,Front Desk Call,5075,44100,2,2024-10-16,staff,133.87228994632238,Infrequent,0.0018534751547327046
80,rec_00080.wav,IT,Incident Report,798,16000,2,2024-10-24,dm,5.885574035300433,Standard,0.00014118926269682995
81,rec_00081.m4a,Athletics,Training,1027,48000,1,2024-11-19,staff,30.482757858172825,Infrequent,0.0004367568553911598
82,rec_00082.mp3,IT,Meeting,2866,16000,1,2024-11-13,ga,22.853962961949726,Infrequent,0.0003338213674401434
83,rec_00083.aac,IT,Training,5080,16000,1,2024-09-19,dm,35.42233049453744,Archive,0.00028660282544881385
84,rec_00084.aac,Admissions,Training,5623,16000,2,2024-11-30,staff,43.35085943353398,Standard,0.0010416442238061995
85,rec_00085.wav,IT,Meeting,232,44100,1,2024-09-29,dm,4.846527058528494,Infrequent,6.404220803147208e-05
86,rec_00086.m4a,Housing,Front Desk Call,2445,48000,2,2024-10-06,staff,75.33108174689265,Standard,0.0017227614421335992
87,rec_00087.aac,Admissions,Meeting,6725,44100,1,2024-12-10,staff,176.87556577090965,Infrequent,0.002407051626977335
88,rec_00088.aac,Athletics,Interview,6023,22050,1,2024-12-09,staff,79.48057103624541,Standard,0.0017645554118600939
89,rec_00089.flac,IT,Incident Report,404,44100,2,2024-11-25,staff,10.770698348870118,Infrequent,0.00014365480594542214
90,rec_00090.flac,Admissions,Meeting,5176,48000,2,2024-11-30,dm,172.6735859427315,Archive,0.001413694442405424
91,rec_00091.wav,Housing,Training,6012,16000,2,2024-09-25,staff,50.44218197304617,Standard,0.0010539082406568593
92,rec_00092.flac,ResLife,Front Desk Call,314,44100,1,2024-11-09,staff,7.198483807262012,Standard,0.00017247205420651245
93,rec_00093.m4a,ResLife,Incident Report,2764,44100,1,2024-09-11,staff,72.45047363736563,Standard,0.0016955630719441065
94,rec_00094.wav,IT,Interview,2783,22050,2,2024-11-08,dm,29.03345360182592,Infrequent,0.0003679391663990303
95,rec_00095.mp3,IT,Training,5628,16000,1,2024-11-30,staff,39.56982145007496,Standard,0.0008619017477884538
96,rec_00096.m4a,Admissions,Front Desk Call,5521,44100,2,2024-10-17,dm,114.57977020747047,Infrequent,0.001649564642409753
97,rec_00097.flac,ResLife,Interview,4079,16000,1,2024-11-14,staff,30.991762713063274,Standard,0.0006855174251322799
98,rec_00098.m4a,Housing,Interview,3798,22050,2,2024-12-26,staff,38.63051470948641,Standard,0.0009279984863235693
99,rec_00099.flac,Admissions,Incident Report,874,44100,1,2024-10-05,dm,21.73643804356092,Infrequent,0.00028698906539119184
100,rec_00100.aac,Housing,Front Desk Call,4849,48000,1,2024-10-17,staff,137.10904125833963,Standard,0.003383307551550421
101,rec_00101.flac,Library,Front Desk Call,3467,16000,1,2024-10-25,staff,28.624221728217385,Standard,0.0006288850010585288
102,rec_00102.mp3,IT,Interview,7128,16000,1,2024-09-29,staff,56.7500209263049,Standard,0.0013979641819122637
103,rec_00103.flac,IT,Incident Report,545,44100,1,2024-11-01,staff,13.50824002398404,Infrequent,0.0001778395880806884
104,rec_00104.m4a,IT,Incident Report,4866,48000,2,2024-11-06,staff,161.2978299212542,Standard,0.003565259090673197
105,rec_00105.wav,Library,Interview,3719,16000,2,2024-10-21,admin,31.54930513079305,Standard,0.0006624401296604317
106,rec_00106.wav,IT,Meeting,3938,44100,1,2024-12-20,staff,91.71311621321847,Standard,0.002177867063708602
107,rec_00107.flac,Admissions,Training,7152,16000,2,2024-12-16,staff,57.05707207058437,Standard,0.0011735265251055019
108,rec_00108.mp3,Library,Front Desk Call,6094,44100,1,2024-12-21,dm,132.14667241074903,Standard,0.003135377079928191
109,rec_00109.m4a,Library,Incident Report,2852,16000,2,2024-11-07,staff,22.288660765575056,Standard,0.000500445480930817
110,rec_00110.mp3,Housing,Training,3106,44100,1,2024-11-09,staff,63.832573647531,Standard,0.0015372982959354143
111,rec_00111.mp3,ResLife,Training,2494,22050,2,2024-09-11,staff,33.21254984255945,Standard,0.0007640209305151105
112,rec_00112.wav,Admissions,Meeting,89,44100,1,2024-10-18,staff,2.354456480361567,Standard,5.761154592576067e-05
113,rec_00113.mp3,Admissions,Front Desk Call,2159,16000,1,2024-10-12,dm,14.709388982713467,Archive,0.000115977999750565
114,rec_00114.aac,IT,Incident Report,1972,16000,1,2024-11-29,staff,13.145394432118325,Standard,0.0002790943782102444
115,rec_00115.m4a,IT,Front Desk Call,3827,16000,1,2024-12-05,dm,28.95712136100924,Standard,0.0007055253120097143
116,rec_00116.mp3,Housing,Front Desk Call,4288,16000,1,2024-11-07,staff,33.769131783749344,Archive,0.0002863891392487492
117,rec_00117.m4a,Housing,Interview,7068,16000,1,2024-09-03,dm,54.87394284853246,Standard,0.001316379701382005
118,rec_00118.aac,ResLife,Incident Report,6828,16000,1,2024-12-08,admin,50.74271972402102,Archive,0.0004068608601038064
119,rec_00119.mp3,Housing,Interview,5091,44100,1,2024-11-01,dm,123.70307906847479,Standard,0.0026468468750772
120,rec_00120.m4a,IT,Meeting,4377,22050,2,2024-12-09,admin,49.76271643569775,Standard,0.0010098343272777212
121,rec_00121.m4a,IT,Training,2137,48000,2,2024-10-09,staff,64.89768823918119,Standard,0.0015486648317121104
122,rec_00122.flac,Housing,Front Desk Call,2053,44100,2,2024-11-24,staff,41.366466798468174,Archive,0.0003355747299325166
123,rec_00123.m4a,Housing,Incident Report,3581,44100,1,2024-11-30,staff,86.27874431527216,Standard,0.0019148662604091405
124,rec_00124.flac,Library,Training,7151,44100,1,2024-12-26,dm,146.63564181017253,Archive,0.0011559480622798195
125,rec_00125.m4a,ResLife,Meeting,5410,48000,1,2024-12-20,staff,187.23032046315146,Standard,0.004447926453482004
126,rec_00126.flac,IT,Front Desk Call,2890,44100,1,2024-11-17,dm,67.27539924312197,Infrequent,0.0008579057789543997
127,rec_00127.aac,Admissions,Meeting,4152,16000,1,2024-09-10,staff,31.02196577813782,Standard,0.0006299791242000348
128,rec_00128.wav,Housing,Front Desk Call,1651,44100,1,2024-12-26,ga,40.565748260997104,Infrequent,0.0005023342184904508
129,rec_00129.m4a,IT,Front Desk Call,689,16000,1,2024-10-02,staff,6.0052256935067785,Standard,0.00014806121694239922
130,rec_00130.m4a,Library,Interview,3987,44100,1,2024-11-18,staff,84.15850948283814,Archive,0.000623081130256345
131,rec_00131.mp3,Library,Training,2210,16000,1,2024-10-19,staff,16.75452495058588,Standard,0.00041224667678466424
132,rec_00132.mp3,Admissions,Training,2487,44100,1,2024-09-27,staff,66.57078228598752,Standard,0.0013541197982914418
133,rec_00133.wav,Housing,Training,6075,16000,1,2024-12-18,admin,52.642520964395736,Standard,0.001223095806729722
134,rec_00134.m4a,IT,Meeting,816,48000,1,2024-11-15,staff,24.666575312954414,Standard,0.0005570227277016281
135,rec_00135.aac,Housing,Training,4426,16000,1,2024-10-12,dm,33.148930258774435,Standard,0.0007437635837801147
136,rec_00136.wav,IT,Meeting,5136,44100,2,2024-12-02,staff,131.7835317143888,Infrequent,0.0015984577499394302
137,rec_00137.m4a,Housing,Front Desk Call,3212,44100,1,2024-12-26,staff,65.89118675932184,Standard,0.0014999796835782227
138,rec_00138.aac,Housing,Interview,4983,16000,1,2024-10-21,dm,34.47662892000657,Standard,0.0007924140876492411
139,rec_00139.aac,Admissions,Incident Report,710,44100,1,2024-10-11,dm,16.995477631390404,Standard,0.0004072625923262419
140,rec_00140.mp3,Housing,Front Desk Call,7000,16000,2,2024-09-21,dm,55.80883062288359,Standard,0.0013364142739061588
141,rec_00141.wav,Housing,Front Desk Call,6607,16000,1,2024-10-12,staff,52.691007782944126,Infrequent,0.0007542434085686905
142,rec_00142.flac,Library,Incident Report,998,16000,1,2024-10-13,staff,8.417057181294176,Archive,6.0334564452533964e-05
143,rec_00143.wav,IT,Interview,4200,16000,1,2024-12-20,staff,36.56599323645562,Standard,0.0008832252841901081
144,rec_00144.mp3,IT,Training,6557,44100,1,2024-12-03,staff,149.06554937359058,Standard,0.0033639033397053603
145,rec_00145.m4a,Housing,Meeting,857,16000,2,2024-10-21,staff,6.34550412082168,Standard,0.00015304932265102332
146,rec_00146.aac,Athletics,Incident Report,5742,16000,1,2024-09-25,staff,49.564762344567264,Infrequent,0.0007225325015375041
147,rec_00147.wav,Admissions,Interview,3316,16000,1,2024-11-22,staff,23.922856885484173,Infrequent,0.00029538868790898374
148,rec_00148.flac,ResLife,Incident Report,1833,48000,1,2024-09-02,ga,63.72723617414305,Standard,0.0014056357735076038
149,rec_00149.m4a,Admissions,Meeting,7090,44100,1,2024-11-14,dm,176.49424030050588,Standard,0.003968705135903195
150,rec_00150.wav,Housing,Interview,3458,44100,1,2024-12-15,staff,89.47564267335743,Infrequent,0.0012304671218664339
151,rec_00151.aac,IT,Interview,1542,44100,1,2024-10-24,dm,37.627306200072404,Infrequent,0.0005515385066685148
152,rec_00152.aac,ResLife,Meeting,4542,48000,2,2024-12-26,staff,125.16762116068688,Standard,0.0025499492080948735
153,rec_00153.m4a,Library,Interview,4234,44100,2,2024-11-25,staff,105.62771314291868,Infrequent,0.0014526429686643812
154,rec_00154.aac,Athletics,Training,2277,44100,1,2024-12-14,dm,53.30620826475057,Infrequent,0.0007171847729261935
155,rec_00155.flac,Admissions,Front Desk Call,5252,16000,1,2024-10-15,dm,37.13821575502204,Archive,0.00027059960462755414
156,rec_00156.aac,ResLife,Incident Report,787,44100,1,2024-12-06,dm,16.243456622125276,Standard,0.0003783181052740436
157,rec_00157.aac,Housing,Meeting,4366,48000,1,2024-10-19,ga,126.7344908022442,Standard,0.0029764244244381635
158,rec_00158.m4a,Library,Meeting,6029,44100,1,2024-11-27,dm,125.4249666122991,Standard,0.0026000548231664565
159,rec_00159.mp3,Housing,Incident Report,5474,44100,1,2024-10-16,ga,114.27376645568454,Standard,0.002363583620443888
160,rec_00160.wav,Housing,Training,1198,48000,1,2024-11-06,staff,41.29602029531847,Infrequent,0.0005551810275717679
161,rec_00161.m4a,Admissions,Meeting,5734,16000,2,2024-09-05,admin,50.85269551533029,Standard,0.0012465298810354622
162,rec_00162.wav,Athletics,Incident Report,3540,16000,2,2024-11-18,dm,31.76149634478536,Archive,0.0002662195628553878
163,rec_00163.flac,Athletics,Training,719,44100,1,2024-12-19,dm,17.151885640965492,Standard,0.0003979152958616204
164,rec_00164.aac,ResLife,Interview,3159,48000,2,2024-11-29,dm,100.67399393601573,Infrequent,0.0013286039318602123
165,rec_00165.mp3,Housing,Meeting,2017,16000,1,2024-10-04,staff,13.67572147286406,Standard,0.00033488746653516957
166,rec_00166.m4a,Housing,Interview,6503,16000,1,2024-10-10,staff,44.990785224738175,Infrequent,0.0006031953217815197
167,rec_00167.wav,Library,Training,2648,16000,2,2024-12-26,ga,22.365744551114833,Standard,0.00046604104494141847
168,rec_00168.wav,Library,Interview,4030,44100,2,2024-09-25,dm,96.46206300862244,Standard,0.0022092160135180013
169,rec_00169.mp3,IT,Interview,4593,16000,1,2024-11-20,admin,36.60068254302334,Standard,0.0007551781281021916
170,rec_00170.aac,Library,Interview,3064,44100,2,2024-11-23,staff,77.26955099939372,Standard,0.001862320991746374
171,rec_00171.aac,ResLife,Training,932,44100,1,2024-11-16,dm,23.89638354273064,Standard,0.0005370450860884393
172,rec_00172.flac,IT,Training,7033,16000,2,2024-11-12,dm,58.410461753608914,Infrequent,0.0008245493400532092
173,rec_00173.m4a,ResLife,Training,1864,48000,1,2024-12-27,staff,49.70157765133173,Archive,0.00041813995163845027
174,rec_00174.m4a,Housing,Front Desk Call,2548,16000,1,2024-12-28,dm,20.168421075320822,Infrequent,0.0002874983334106103
175,rec_00175.wav,ResLife,Training,2497,44100,1,2024-10-17,staff,64.41407874964875,Standard,0.0015311108208282322
176,rec_00176.mp3,IT,Meeting,5234,22050,1,2024-10-20,staff,67.21710779631537,Infrequent,0.0009576005975491169
177,rec_00177.aac,Admissions,Interview,565,16000,1,2024-09-29,staff,5.008502764578954,Infrequent,6.595404125110129e-05
178,rec_00178.m4a,ResLife,Incident Report,1695,22050,2,2024-10-20,dm,19.97886187643545,Infrequent,0.0002438668557359484
179,rec_00179.mp3,Library,Training,6545,16000,1,2024-12-20,dm,51.47361828879749,Standard,0.001099224182843962
180,rec_00180.mp3,Library,Meeting,5455,22050,2,2024-09-15,ga,54.81092591167351,Standard,0.0012681610279992738
181,rec_00181.flac,IT,Meeting,4131,16000,2,2024-09-15,ga,32.39700127519015,Standard,0.000700951719018107
182,rec_00182.wav,IT,Incident Report,5412,22050,2,2024-09-02,admin,64.63763457346941,Standard,0.0015930109620552453
183,rec_00183.aac,LIBRARY,Meeting,2466,16000,1,2024-10-08,admin,21.681085878107062,Standard,0.00046900405855556754
184,rec_00184.aac,ResLife,Incident Report,5965,16000,1,2024-09-17,dm,51.98259658705946,Standard,0.0012162492158264578
185,rec_00185.m4a,Housing,Meeting,5788,44100,1,2024-11-21,staff,117.8490033000379,Archive,0.000856502463919443
186,rec_00186.m4a,Housing,Meeting,3497,48000,1,2024-11-11,staff,97.54034966183077,Standard,0.0021712521851346123
187,rec_00187.flac,Library,Front Desk Call,5132,16000,2,2024-12-16,staff,38.67958961951429,Standard,0.0009212819932768504
188,rec_00188.m4a,RESLIFE,Front Desk Call,1611,48000,1,2024-12-25,dm,54.571662331963275,Standard,0.0013263057377163724
189,rec_00189.m4a,Housing,Front Desk Call,1978,44100,1,2024-10-04,staff,41.71733852987615,Infrequent,0.000514104646762611
190,rec_00190.mp3,ResLife,Meeting,4555,16000,1,2024-09-14,staff,38.511470585167565,Infrequent,0.0005506382096258956
191,rec_00191.m4a,ResLife,Front Desk Call,313,16000,1,2024-12-21,dm,2.5134081508460464,Standard,6.17061540853372e-05
192,rec_00192.flac,ResLife,Meeting,6554,48000,1,2024-09-20,staff,228.0085874485729,Standard,0.004632934960208683
193,rec_00193.wav,Library,Front Desk Call,5497,16000,2,2024-09-10,ga,40.91449304842452,Infrequent,0.0005859927533217128
194,rec_00194.wav,Library,Interview,2241,16000,1,2024-11-21,staff,16.995082478109858,Standard,0.0003468256452032023
195,rec_00195.flac,Housing,Interview,1924,44100,1,2024-12-01,staff,39.14429602127679,Standard,0.0009104393662172075
196,rec_00196.mp3,Housing,Meeting,159,44100,1,2024-10-07,staff,3.7467231880314156,Standard,9.236719889166764e-05
197,rec_00197.aac,ResLife,Incident Report,2548,48000,1,2024-11-02,staff,86.1845142047115,Standard,0.0017752869343285072
198,rec_00198.wav,Library,Interview,1344,44100,1,2024-09-06,staff,31.625289005048277,Infrequent,0.0004471886507327411
199,rec_00199.aac,Admissions,Meeting,6388,16000,1,2024-10-08,staff,50.22746502864739,Infrequent,0.0006241609642758558
200,rec_00200.wav,Athletics,Meeting,6718,16000,1,2024-12-16,staff,59.023026592370925,Standard,0.001347952843974827
201,rec_00201.m4a,ResLife,Interview,1523,16000,1,2024-12-04,ga,12.850397049106244,Standard,0.00027977763954108647
202,rec_00202.aac,IT,Interview,58,44100,2,2024-09-18,staff,1.2836419874632885,Infrequent,1.7500330001988164e-05
203,rec_00203.wav,Athletics,Training,1640,48000,2,2024-12-21,admin,58.088136769531765,Standard,0.0013720797904150429
204,rec_00204.flac,Housing,Interview,401,16000,2,2024-10-23,dm,3.3440890890834094,Standard,7.050593747790935e-05
205,rec_00205.flac,Admissions,Training,5112,22050,1,2024-10-08,staff,56.33120313203367,Standard,0.0012144964456556738
206,rec_00206.m4a,IT,Incident Report,721,22050,2,2024-11-30,staff,7.717557308560909,Standard,0.00016001529752594554
207,rec_00207.wav,ResLife,Training,1530,16000,1,2024-10-09,ga,12.583061379242682,Standard,0.0002774108213947308
208,rec_00208.m4a,Library,Front Desk Call,6422,44100,2,2024-12-03,staff,150.82914201907087,Standard,0.0031038463175856517
209,rec_00209.m4a,ResLife,Meeting,5336,48000,1,2024-09-02,dm,171.69804880473947,Standard,0.003492929580977305
210,rec_00210.aac,Housing,Front Desk Call,2769,16000,2,2024-12-24,staff,19.226866193381866,Standard,0.0004519744109740103
211,rec_00211.flac,ResLife,Meeting,1008,44100,2,2024-12-03,staff,25.508634069407506,Standard,0.000596346820375031
212,rec_00212.mp3,Admissions,Front Desk Call,4984,48000,1,2024-11-11,staff,172.61727318367153,Standard,0.003511913668865979
213,rec_00213.wav,Housing,Interview,2193,16000,2,2024-12-27,staff,16.7207467050716,Archive,0.0001354876737994525
214,rec_00214.m4a,IT,Incident Report,5086,48000,2,2024-09-18,staff,149.62324084659687,Infrequent,0.0020869320142447045
215,rec_00215.mp3,Housing,Front Desk Call,5922,44100,1,2024-09-09,dm,158.57145287911686,Standard,0.0034504440885587367
216,rec_00216.flac,ResLife,Interview,3133,44100,1,2024-09-10,dm,83.89075019722895,Archive,0.0006323776656585185
217,rec_00217.aac,IT,Meeting,1007,16000,1,2024-11-02,staff,6.98149184040023,Standard,0.00014833470204571317
218,rec_00218.mp3,ResLife,Incident Report,5277,16000,1,2024-11-17,staff,41.72854866910925,Standard,0.0009565147627382477
219,rec_00219.aac,IT,Training,6204,16000,1,2024-10-17,staff,47.55079478226851,Standard,0.0009897184870903007
220,rec_00220.m4a,Admissions,Incident Report,3328,48000,1,2024-11-04,dm,97.14230315583364,Infrequent,0.0013218067921698425
221,rec_00221.m4a,Housing,Interview,2963,48000,1,2024-12-13,staff,93.12016733895244,Archive,0.0007182796920258937
222,rec_00222.flac,Library,Meeting,3908,16000,1,2024-09-30,staff,32.071151585095016,Infrequent,0.0004332811916391052
223,rec_00223.flac,Library,Meeting,6343,44100,2,2024-09-19,staff,142.71423262530422,Standard,0.0033713727330282
224,rec_00224.aac,ResLife,Front Desk Call,2219,16000,1,2024-09-20,admin,16.334854493435113,Standard,0.00034674079690714737
225,rec_00225.aac,ResLife,Meeting,2306,44100,2,2024-12-08,ga,59.9379678525317,Archive,0.0004535571020275379
226,rec_00226.wav,Library,Front Desk Call,28,44100,1,2024-10-13,staff,0.6873303858564238,Infrequent,9.228747657028806e-06
227,rec_00227.m4a,IT,Meeting,228,48000,1,2024-12-21,dm,6.709054747278065,Standard,0.00014542794924070687
